tweet,label
i hate dumb bitches,1
rt cheddar85 dudes taking selfies aint cute  ya pussies,0
walk off hr yankees,0
her excuse is when i die u can have all my gold i dont even like yellow gold anymore i gave her all of mine,0
look at them hoes man fuck them hoes niggah lets get smoked,0
fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1
her great grandmas a hoeher grandmas a hoeher moms and a hoe and shes a hoe its a long line of hoes grandpa carl everyone,0
twitters little blue birds name is larry after celtics isu larry bird stick ticker is twtr,0
i just want to punch you in the throat when you get my order wrong stupid bitch at sonic,1
fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1
rt paparockk my mom paid 5 to hold this monkey amp look what he did 128553128514 httptcot5zkmd8xeh,0
carelessone92 you styl gotta get dem tweets off my nig,1
snakehaid wsaleen15 rducppp 2synnseer rebelgirl2040 why ur profile a one armed nigger,1
clan of retards,1
if my friends dont wanna hangout my automatic response is to call them a bitch whoops,0
night niggers,0
rt nachumlist charlie rangel 180the things webelieve in are spiritual damn things180 httptconwgij1mjia,0
rt mattsimonson oomfs teeth are quite yellow128514128128128128 wbdyllon,0
niggas are so fucking gay and they try to cancel it out by saying nah were bros its cool nahhhhhaahahahaha you a faggot bruh,1
pussy ass bitches,0
rt ride907 if some little fucking faggot spits in my food i swear to god id tear your fucking arms off httptcoeqocianz77,1
i feel like a bitch that just got her heartbroken a day before her wedding,0
these hoes dont like a nigga they love my money these niggas dont like a nigga they all want somen httptcoiugyrimr4d,0
little fucking gook who smells like shit an than thinking theyre the motherfuckin boss the fuck,1
rt moneygangrod musty pussy maggot bitches tryna lick my sac for riches ogmaco fuckemx3,0
reddaddy17 liljohnfnv9 and dis wus after i offered to help faggot ass nigga get custody of his kids im lowkey heated,0
aschops absolutely agree with that statement its just so amusing how angry it makes all these teabagger scumbags that alone is worth it,0
sexwithsockson faggot,1
gay ass nigga 128514128514 bitch you thought you thought,1
faux noise pundits dont like duck molester proslavery racist homophobic teabagger darling phil robertson either httptcoxxehphwwwr,1
rt pluggedinpiff green azz niggas amp yall new bitches condone dat sucka activity dat why they keep doin it,1
this 8 yr old on masterchefjunior made my chicken look like trash,0
people are fucking retarded lol,1
im soooooo tired of this dick dyke showing up on my fb feed real studs dont fucc niggas just be bisexual,1
bloggerboxing rianscalia pass the fosters faggot,1
bitchkrieg like the new avi my twitter is retarded and shows you in the cubs hat but when i stalk your profile it show the new one,1
 i aint trippen cause i like her anyways  she got a niggah and i got a girl but anyways  yea anyways 1041196,0
rt sorryimalex i got called a faggot for buying girl toms so now im gonna fuck that person in the ass,1
rt nowthatsfresh lmao you gotta chill rt flyoutchase you bitches still fat,0
rt youngbuddhabruh westsideflee it all depends on the female dawg usually thats how it is with these hoes but the genuine women fuck w8230,0
8220biggboss23 i never get on twitter but when i do i get in bitch fights with niggas not even females bruh8221 httptcokf6pxgkjxr,0
awk u dont like your own nephew  cousins bc our race lmao broke ugly bitches fuck them we dont need them,1
im sick and tired of the above the fray crowd theyre all the same crowd the mushy moderate the contrarian etcwake up pussies war,0
liamgeraldshone arannicolwhufc dsaend ur a fucking half breed dog stop acting,0
maggieburdis nickgoldapp lmao dude you are probably the biggest fag in nebraska 128514128514128514128514128514,1
trash both ways lol rt agdacoroner bitch killed herselflook like bill maher with makeup on httptcoiwlag2j5sl,0
i think dat missfacetious called me a niggerwhat do move away from da dark side mean,1
countryredbelle i thought youd get the hint that we know youre a fake cunt and delete your fake account,0
carlybutler96 just texted yea queer bait 128536,0
rt travelnevada great story of what its really like to be a camel jockey at the camel races in virginiacity httptcox02xmavequ tra8230,0
jennifer lawrences nudes sooooo trash im still smashin though no doubt,1
my manager is retarded bruh always asking siri some spellings 128514128514128514 this nigga is dum af doe,0
shmalec13 chad reeds a fag hes a 5th kinda guy,0
gvvenivere learn how to type ya hillbilly,1
fuckboirik hahahaha youza fuck wigger,1
had to touch a yung nicca up real quicc last nite 128514128514,0
you know what your doing when you favorite a tweet tryna cheat ass bitch haha,0
rt imneverchillin bitch for who gap rt porkhub im a model yall bitches cant tell me nothin httptcoldotnl5pna,0
camposuli is a fag hesgay,1
rt cityboicoop 128557128557128557 rt rojustdgaf damn it rt bobbybudnic 999665039 rt tittyslapme once or twice is cool but damn bitch httptcowtdcshx8230,0
rt fart i just found out that marehood is code for horse pussy brony mlp httptcoycqtmm3lid,0
vexda go jerk off to lollis faggot,1
rt reidk97 flappy bird is dusty,0
elizabeth is astupid hoe,1
so many hoes whipped you would have thought we were still in slavery,1
bitch im dead 128128128128128584 rt kinghov1313 them heauxs gon put balloons in a corner amp take pics talkin bout we in vip128553,0
rt johnnyfootbali yeah kaepernick might have biceps like a greek god but the dude looks like he was conceived by a proboscis monkey http8230,0
deliaparedez rikkilovee gabrielaangela4 stephyrae7 theonemissluu ramonapilar im coming bitches,0
 that one niggah that grab the aux cord and start playen weak ass music 1041204104120410412041041204 httptcokodydgpgja,0
i adopted these bitches,0
rt michaelgt03 happy birthday freshman faggots cooopster98 chase123456718,1
winter time walking is no hoe  ctfu,0
assholeking pats owner is a kike,1
bitchimfancy lol so retarded,0
seegt its a fine linegt killing faggots doesnt change the source of their creation which is stupid people overbreedinggt periodgt,1
drfreezeburnn thats not bias its an objective fact that philly fans are cunts,1
this bitch asked why pants sagg  cuz dey tryna hold my bandz up 128184128184128184,0
rt tiredoftyranny jihadi work accident seven taliban fighters including top commander killed when roadside bombs detonate prematurely8230 h8230,0
you know what fuck you too bitch your such a little hoe gtlt,1
rt tittyflex so they both was selling pussy and doing dirt together and they fell out so they putting each other on blast even though the8230,0
bitches be half naked in their avis talking about i dont send nudes,0
thekushzombie aww y u so mad tho a successful man lmfao hut hugging as faggot,1
every gook in losangeles should be deported or killed,1
jealous ass bitch tryna turn me to a lick but you wont live to see that shit,0
mcdonalds pipe self defence beating httptcogk5wbobjtc this is one nigger whos hand i would shake thats how you deal with sheboons,1
she trash tho,0
i hate a stuck up bitch likeeee stfu you aint shit special,0
hekterr dont stop now half breed im just starting to learn about what makes you a dumb ass,1
my nig jus said aint nuttin worse den a fat loud hoetru fuckin story,1
ehasselbeck bipolitics teaching that pretend son to b a pussy his son would have lace on his jock strap,1
evandmyers nineinchessoft you have a redneck attitude the same people that think benghazzi is real think fox fake nws is real your one,1
cant handle this bitch and her elbow fat,0
prayforjack new york niggas quick to take off on a bitch in public boy lol,1
itskeeshkapeesh yourself faggot buy a dictionary,1
fat dykes make me want to vomit,1
bitch cant hold herself down then she bound to drizzown,0
0o faggot,1
bitchdicknigga youre a fucking nigger,1
did he say wayne chung bitch ,0
pepperredbone yankees mets oh yeah and the annoying damn duck calls they outta be banned duck horns,0
shawnharvey0 im finna get my leg dne amp my hands catch up hoe,0
hunglikerobby that was so gay and i was tanning bitch juvie made me white,1
dukefan kentuckyfanpage thats why we had 8 regular season losses you are retarded,0
rt stormydaniels i know another chick i will never shoot again filing this one under heartless cunt,0
only retards retweet fuckry,1
swagishsternes yea i listen to that hoe when i wake up,0
rt rosiezaya1 ur fucking white trash,1
celebrities teeth really be white as shit i mean dont get me wrong my shit aint yellow by far but i need whatever toothpaste they be using,0
rt juicysqueaky any bitch who need a crowd to fight is clearly easily influenced amp weak minded amp most likely will commit suicide 128514128514,1
8220chrissycindy waka tammy just got her ass beat httptco9in5iysnpi8221 ctfu how niggas be they dont ever have they bitch back 128514128514,0
smh u niggers amp ur music knowledge,1
minus all the retarded poor bots,1
i aint cutting my hair for u hoes at hc,0
rt exquizitebeauty 128584128584128584 rt idoclyfe gave her that move it lil nigger push smh httptcoeybwlvukim,1
michael sam being cut further proves that we fags dont belong in football or nfl it is a heterosexual sport for heterosexuals,1
seattle mayoral election this year a choice between a bunch of women nonwhites and faggotsfag lovershttptcorwhgmrlazx,1
9113 250 pm son of a bitch ate my mac n cheese httptcomy5ojyz8w9,0
rt fit4lifemike whitecholo23 chanelisabeth true i need to sleep to make them gainz bruh so all the hoes stay mirin p alright later8230,1
matthometeam  you know what you did you faggot there are literally thousands of people that have you on their radar homo,1
kiefferjason lmao why ur dad raised u to be a bitch made nigga,1
8220rudeboidrew im finna eat some pussy8221 lmao,0
whoever jumps in on a 1on1 is a bitch,0
rt tfcbooks friday 6pm busboysandpoets vivek balk bengali harlem amp the lost histories of south asian america httptcoveyaqnaidg 8230 8230,0
mdnate interested just wanted to see a better pic of the soles,0
im not dating anyone right now im giving my pussy a brake,0
rt drnrdx brandonfxrd youre not safe pussy boy looooool httptcotocj1wxryk,1
128514 8220bossmobbe racist all month  fuck u honkey8221,1
tayjrobin almondmlk follow the system and youll practically be swimming in pussy,0
rt deejay138 in some pussy nah work is the best place to be in this weather,0
prettybossbrat we dont love these hoes 128080128581,0
kiefferjason nathanndevlin zachsmith98 bitch i been in plano every fuck weekend and you make excuses stfu and fight,0
if u gon be wit ur bae even if he or she cheat just shut the fuck up and take the dick or pussy after all aint nothing better then love,0
only white trash watch football,1
iammarshall27 yeah man all my niggas dipped to the cars and left and i was in a barn getting chased by the ghetto bird,0
huntermoore shelbyritner shelby your pussy is beat up,0
rt iamthatprettymf yall bitches dont know how to be friends 128514128514 httpstcopik5sse3ka,0
xzimpx prophzilla this is twitter not only are you a fag but youre also retarded,1
rt alejvndrv 82201ortiz1 id rather be your niggah8221,0
drboycewatkins1 coons and monkeys like you disgust me you minstrel show negro crying about shit all the time youre a disgrace everywhere,1
judgmentalnyer eveisapisces it always looks so nice i was gonna buy this yellow one,0
her pussy sweeter then some fresh fruit 128527 she gushin i drink the best juice 128166,0
itsjaylaaa eat shit nigga bitch turd bag dick beetle,1
rt adolfhibsta first off you just a hoe if you can have sex with a man amp not have any feelings for him,0
viewfromboxseat shes a cunt,1
some of these hood negros dont deserve bail money the way they be visiting jail,1
rt kinghorsedick if i eat the pussy and it taste like mold i stop so u cant tell ppl i ate u if i aint finish,0
heyrmbr probs that fag vhia,1
rt hildismom mt jjauthor us ghettosdriven by liberal ideology httptco6onyrmggnd redmeat,0
stupid loose pussyed bitch,1
rt rakwonogod u hoes going to church this morning like yall wasnt busting it wide open for niggas about 4 hours ago,1
i bet you think you a nochill savage huh fucking faggot killsemaj,1
next sunday faggot leiacatherinexx,0
you state it gook,1
if a bitch is bad n single she single fo a reasonhoe prolly cray or a runna,0
creolebabybritt blurbette thepbg the same guy who thinks he can slang around bitch without it being offensive apparently,0
my tail just said he dropped 20k to pay off the last of his student loans and clams he is broke nigga u just dropped 20k like its nothing,0
yall mfs better believe in karma  that bitch oh so real,0
peace to all the hoes i put my badongle in and didnt cook breakfast for httptcoj9oc6an2,0
them queer ass shorts rabchenko got on,1
some of you girls should be wifey for halloween since some of y8217all been hoes all year,0
newdinero alright pussy,0
rt rosiezaya1 ur fucking white trash,1
 ran a good game with my royal niggah 104335910423901043323,0
rt skate808s god all a nigga trust i cant trust that gun cuz if that bitch jam im fucked cant trust niggas they bitches got they dicks8230,0
 i met that pussy on ocean dr  i gave that pussy a pill  128524,0
hoes thnk they won when the nigga thats ridin the fence start givin them a lil attention what u won hoe a wishywashy ass nigga oh,1
oh you want pho well saimigi is ghetto pho eat that shit since im broke128564128514,0
lol im out here curving bitches like im taken,0
buckm00se letsargueboxing sand nigger ran over some kidd,1
rt yofwm 8220brianlovesass damn babe 128557 sike forever fucking with basic bitches 1285148221 128514128514,0
ol heads always think a young nicca gon runoff wit they sacc,0
rt myfriendsrap you hoes need to stop dressing yall kids as migos and rappers that yall fucked lil nigga just wanted to be a power ran8230,1
nba handle your zebras,0
if yer gonna continue to be a contrarian bitch go die then ive no time for such trifling,1
truth rt adolfhibsta only a faggot would turn down hairy pussy,1
between this trend and the vines acting like women its like niggas couldnt wait to be faggots httptcodkvnjmcarz,1
she got every niggah lookin like dam,1
well your a little cunt ,0
grant bitches more than a 14 year old white bitch,0
rt gucci10i7 side hoes shall only eat side dishes fo ye are what ye eatstraprinthions 1017,0
ebola is a great metaphor for how gop teaparty policies eat off of vital organs until the host dies tcot teabaggers,0
antoniofrench the you8217re going 2have 2 kill crackers amp their babies8221 new black panthers credibilityshot fergusonriot justice4mikebrown,1
i would commit the rest of my gay life to being a complete 100 submissive bottom if i could be zac efrons bitch noshame gayboyproblems,0
residinero we some hoes bruhhh lol,0
brrrrangadang this nigga 128529128529 know damn well you a coon,1
rt maarycatherinee kendawqq bitch please i dont even make my own food 9995,0
rt bosssant i dont like bitch niggaz and they dont like me 128175 boss up,0
8220sexreiationship who else thinks lip biting is fucking sexy8221maiapapayyya until that bitch bite too hard put a hoe out once for that,0
richxinxflavor im not a fag gtfo,1
in my 25 years ive supported more niggas and bitches and they kids and well my gratitude has died,0
rt terrigeorgia charlie crist leads rick scott in a florida governors race where every vote will matter httptcofwuh5pvnjk,0
rt femaleproblems u may think im a bitch but as soon as you get to know me u realize that first impressions are right and i am a bitch,0
ayy carlton is a ghetto school now switchedatbirth,1
your retarded,1
looking like a hillbilly and not matching is what i do best goodnight losers httptcocaghblkaxq,1
rt occdissent ann coulter admits on fox news that america has a negro problem crime tcot gettingreal,1
i like my bitches bad wit a lil attitude,0
rt itssongoku when niggas ask me where the hoes at httptcoeg6gxggzfc,1
dishanswers you gots da bet and da msnbc wit dat colored reverend who only listen to coloreds what else i missing,1
8220tpthree westsideflee kekepalmer damn they got wifey 1285611285611285341285341285551285531285531285538221fall back nigga 128299 i dont share my hoes,1
i find it funny when fags write looking for bf on a grindr ap lol thats a fucking ap dumbass,1
god i would sell both my nuts to watch lebron tear his acl right now and watch all those pussies kill themselves,1
real5hfacts stfu u ugly dyke,1
lmaooooo rt savvgrace bitches be like 8220relationship goals82218230 dumb ass nigga httptco5cunhfd79o,0
rt allanson i got gatorades twinkies rice puddings pringles and cookies 128525128555,0
rt kriegsson on nigger day we honor nigger traditions by not working,1
yall couldnt wait till halloween to dress up like hoes,0
rt bjayblast i really dont be tryna hoe nobody i eat we all eat literally,0
rt nomeekjustmilz i honestly hate women who bitch amp complain about a nigga playing video games when he still makes time for yallthem 8230,0
sassycrass she made fun of a suicide attempt mellie aint that bitch to fuck with this season,0
 that fb profile checker thing fake then a mf  i just added some bitch yesterday and it had me on the top  fuck fr ,0
oskzilla yaseenxkahn sleep niggah lol,0
so i decided to drive to the good walmart where the colored folks dont go bc its food here,1
destrothenoble nekolin purple amp pinkfor the faggots who want to be protectedby the police instead of bearing arms if need be,1
devin hesters a bitch,1
rt lilreese300 errday i take chances real street nigga shit take chances by fuckin wit u nothin ass hoes sumtime lol300,0
she was like ima need you to write a statement bitch write yourself a diet its always the old people trying to snitch bitch,0
rt yoshortyma ill kill this bitch no hesitation httptcouxepa9lvi5,1
does sza have freckles on her pussy too,0
she pooted 8220not1fuckisgiven either young thug gay or this bitch pooted httpstcog0fgrx7dju8221,1
rt madchad412 omg hahaha best thing you will watch today milan lucic is a crybaby bitch goon f him and f the bruins httpstcokkpzgl8230,0
jmellor432 fag,1
sarahvicwood im going to murder that fucking cunt,1
i grew up with niggahs dont trust no niggah no love for niggahs,0
every bitch got a fat ass or she 3000 from it rns,0
rt nohoesnextdoor if you claim macklemore is your favorite rapper im also assuming you watch the wnba on your free time faggot,1
rt strocorleone thoughtsofrandy yummysworld all deze hoes got past demons in em yolo nigga lol  hahahahaha,1
who tf make an account of another bitch like you wanna be anotha bitch dat bad lmfaooo fat ass hoes,0
bitchdicknigga youre a fucking nigger,1
rt poochda63 i go to take the trash out and a darkskin nigga stole my damn garbage,1
sassyharryballs ur ballsack is hairy gtfo tranny prude bitch,1
citi field bitches httptcoghxxmb3m,0
i hate the ghetto trash at the special school across the street from my building all of them will grow up to be criminals,1
faggot ass bitch nigga,1
rt hotwata 8220vsamone tom ford probably fucking all these hoes8221 he probably would be if he wasnt a homosexual,0
pretty bitches with even prettier titties 978665039,0
rt michaelgt03 happy birthday freshman faggots cooopster98 chase123456718,1
i smoke a lot of weed to keep them bitches of ma mind,0
currently listening to the imperial march traditionally only played when preparing to slash bitches,0
these side bitches winning son ,0
seegt its a fine linegt killing faggots doesnt change the source of their creation which is stupid people overbreedinggt periodgt,1
my life is going to a bitch for 6 short weeks,0
rt sblmnlcrmnl woodslamar shut your nigger ass lamar,1
bad asian bitch yea she look just like kemora,0
rt imamybitches i call myself fat amy so twig bitches like you dont call me it behind my back,0
shutup fag 8220mraugustaisina on some real shit  females love a real nigga like me 8221,0
rt iowahawkblog whatta coinkydink irs cancelled contract with email backup company right after lerners computer crash httptcoz8230,0
misplacedmomma she be what we say in da hood white trash,1
antoniofrench the you8217re going 2have 2 kill crackers amp their babies8221 new black panthers credibilityshot fergusonriot justice4mikebrown,1
everybody fuckin everybody bitch everybody wit the shits thats lifee,0
sosa on the beat ho,0
rt ayeedeb ray j is the perfect example of what happens when you give a lame nigga some pussy,1
oskzilla fuck you fag,1
im tryna face fuck kesha you bitches bringin beef ill get the lettuce n ketchup,0
8220iamkrause no need to thank me killing niggers is its own reward8221 dis my pal from our graduation when we was 26,1
rt pacdagoat you a hoe if you give your number to another nigga while you got a man,1
they slut for me they kill for me they steal for me and of course itll be yo cash and ill murder that bitch send the body back to yo ass,1
fuck you ghetto ass coons,1
im starting to not like meek this nig a lil to arrogant for me,1
karmas a bitch and so are you youll be getting along just fine real soon,1
salondotcom foolishreporter i can tell from this tweet that youre a twat,0
what ppl expect august aslina is a nig from new orleans,1
fucking with these hoes nigga dont be no dumby,1
not all straight men  i am frustrated unlike on okcupid queer folks don8217t have the ability to block httptcohbf2xza0ke,1
rt markiiejay you got niggas amp i got bitches,1
slack jawed yokel husband httptcove1pwfrz9t,0
clinchmtn316 sixonesixband america today the rule of thumb is when in doubt blame whitey,1
i know these niglets heard me screaming 128514128514,0
bloggerboxing yeawhat did it do for maidana it made him a greedy faggot loser atleast broner is black,1
8220southerngiant 8220kingshelton dumb bitch award goes too  httptcoiubl31qn6y8221 1285578221 thats all you uncle sam ,0
pornandroidiphoneipadsexxxx  babe  ebony babe pussy httptco3mxbxezqxr,0
trust me when i say that jesuschrist would be killing faggots if he came back to life in todays day and agegt spartacus rome,1
chanelisabeth that nigger music,1
heauxmersimpson im jus tryna vaca away from the niggers bro,1
darienbabyxoxo jk id fuck a dog before i fuck you fish pussy,1
pipetyson me nigga you the pussy i got hands for you dawg,0
pistolpete96 zp3 fuck yall if you doubt me im a piece of white trash i say it proudly,0
joeyd26 sweet comeback u fuckin herb i dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from nyc fag,1
fucktyler fuck you spear chucker,1
dad just yelled out in bout to fry some chicken like a nigger,1
frankiejgrande ew queer white thirsty bitch,1
apevontarskin fuck u ugly ass bitch,0
lovin hoes but thats same bitch we put the pipe in she suckin dick thats the same bitch you give goodnight kiss,0
jeffhank lgreiner3 raycewarden bigjohnstudd shut up nigger,1
people who slam on the brakes at yellow lights should not be allowed to drive,0
kcsnowwhite7 samsaunders42 dont forget nappy headed butt ugly bitch whos married to a muslim,1
turndowndre jordangrimes kushdaddycorr trobwaddup thats true idk why your even in this convo you dumb nigger attention whore,1
rt lyssaboo23 you local ass bitch,0
lol rt jayfucknharris youuuuu got niggas but i dont got bitches,1
ugly bitches post the most retarded shit on social media,0
rt britnigiles dont mention a bitch from your past to me first of all i dont give a fuck second of all i dont care and third i 8230,0
fucking redneck queers and their game invites,1
put yo bitch in the figure 4 and bedrock her,0
rt durtmchurtt i just want to fuck bitches and listen to conway twitty,0
how this ugly ass nigga gets more pussy than me ,0
jimboberson happy birthday faggot,1
this fuckin bird httptcoq2kjv91kiz,0
kiefferjason here let me say it more clearly since your retarded ass dont understand,1
rt baskgod main bitches saying i hate a send me a pic ass nigga be answering every single one of dj ricearonis request,0
discordianslip if you say one disparaging word about the charlie brown xmas special i will slash the tires on your car,0
thenitpickster lol autocorrect is a bitch but voice recognition is much faster than typing,0
magic 8 ball are these hoes loyal httptcog77bwiax7f,0
for those wondering why dhs was buying up all the ammo now you know once the charlie manson er barackobama race war starts its on potus,0
rt whitesonly1 niggers httptcohb3ujalky2,1
koiyatheperv exactly so tweet some other shit fuck all that dont be like everybody this aint monkey see monkey do koiya,0
late night phone convos with my hoomie that nigga a gook,1
fuck you ghetto ass coons,1
george michael such a fag,1
jumpmastere8 dmcgowen1776 visitorvisiting its retarded,1
rt jaytee92 8220armanibliss this ghetto jeopardy shit wack 1285338221,0
rt ooh3bkiltem glizzygang bitch,0
anony386 turntolive tweenki they are wrong you are a nigger always causung mischief among ur own people,1
what a fag,1
rt sadailday school is so pointless im just trying to pass the class and get out this bitch,0
i got so many horses  all the hoes say that its gorgeous  in tha air dats where my doors issssss,0
turndowndre jordangrimes kushdaddycorr trobwaddup thats true idk why your even in this convo you dumb nigger attention whore,1
bitch fuck yo nigga whats up with that pussy,1
cblaze barbod6fcb oddbeast man bitch am not gonna do a damn thang if u dont like what i got to say then unfollow me,1
my mom tried to get me to buy beaner boots bc they were on sale like im not in a mariachi band please stop,1
128514 8220bossmobbe racist all month  fuck u honkey8221,1
